StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2025-12-15 11:39:02;2025-12-15 11:39:02;2025-12-15 11:39:02;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:02;2025-12-15 11:39:03;00:00:01;00:00:01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:03;2025-12-15 11:39:04;00:00:01;00:00:02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:04;2025-12-15 11:39:05;00:00:01;00:00:03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:05;2025-12-15 11:39:06;00:00:01;00:00:04;2;0.499875;2;2;0;0;2;0.499875;2;0.499875;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:06;2025-12-15 11:39:07;00:00:01;00:00:05;1;0.59988;1;3;0;0;1;0.59988;1;0.59988;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:07;2025-12-15 11:39:08;00:00:01;00:00:06;1;0.666445;1;4;0;0;1;0.666445;1;0.666445;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:08;2025-12-15 11:39:09;00:00:01;00:00:07;1;0.714082;1;5;0;0;1;0.714082;1;0.714082;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:09;2025-12-15 11:39:10;00:00:01;00:00:08;1;0.749813;1;6;0;0;1;0.749813;1;0.749813;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:10;2025-12-15 11:39:11;00:00:01;00:00:09;1;0.777519;1;7;0;0;1;0.777519;1;0.777519;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:11;2025-12-15 11:39:12;00:00:01;00:00:10;1;0.79976;1;8;0;0;1;0.79976;1;0.79976;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:12;2025-12-15 11:39:13;00:00:01;00:00:11;1;0.817884;1;9;0;0;1;0.817884;1;0.817884;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:13;2025-12-15 11:39:14;00:00:01;00:00:12;1;0.833056;1;10;0;0;1;0.833056;1;0.833056;0;0;0;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:14;2025-12-15 11:39:15;00:00:01;00:00:13;1;0.845829;1;11;0;0;1;0.845829;1;0.845829;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:15;2025-12-15 11:39:16;00:00:01;00:00:14;1;0.856837;1;12;0;0;1;0.856837;1;0.856837;0;0;0;0;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:16;2025-12-15 11:39:17;00:00:01;00:00:15;1;0.866378;1;13;0;0;1;0.866378;1;0.866378;0;0;0;0;1;1;12;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:17;2025-12-15 11:39:18;00:00:01;00:00:16;1;0.874672;1;14;0;0;1;0.874672;1;0.874672;0;0;0;0;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:18;2025-12-15 11:39:19;00:00:01;00:00:17;1;0.882042;1;15;0;0;1;0.882042;1;0.882042;0;0;0;0;1;1;14;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:19;2025-12-15 11:39:20;00:00:01;00:00:18;1;0.888543;1;16;0;0;1;0.888543;1;0.888543;0;0;0;0;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:20;2025-12-15 11:39:21;00:00:01;00:00:19;1;0.894407;1;17;0;0;1;0.894407;1;0.894407;0;0;0;0;1;1;16;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:21;2025-12-15 11:39:22;00:00:01;00:00:20;1;0.89964;1;18;0;0;1;0.89964;1;0.89964;0;0;0;0;1;1;17;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:22;2025-12-15 11:39:23;00:00:01;00:00:21;1;0.904417;1;19;0;0;1;0.904417;1;0.904417;0;0;0;0;1;1;18;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:23;2025-12-15 11:39:24;00:00:01;00:00:22;1;0.90876;1;20;0;0;1;0.90876;1;0.90876;0;0;0;0;1;1;19;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:24;2025-12-15 11:39:25;00:00:01;00:00:23;1;0.912686;1;21;0;0;1;0.912686;1;0.912686;0;0;0;0;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:25;2025-12-15 11:39:26;00:00:01;00:00:24;1;0.916323;1;22;0;0;1;0.916323;1;0.916323;0;0;0;0;1;1;21;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:26;2025-12-15 11:39:27;00:00:01;00:00:25;1;0.919669;1;23;0;0;1;0.919669;1;0.919669;0;0;0;0;1;1;22;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:27;2025-12-15 11:39:28;00:00:01;00:00:26;1;0.922722;1;24;0;0;1;0.922722;1;0.922722;0;0;0;0;1;1;23;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:28;2025-12-15 11:39:29;00:00:01;00:00:27;1;0.925549;1;25;0;0;1;0.925549;1;0.925549;0;0;0;0;1;1;24;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:29;2025-12-15 11:39:30;00:00:01;00:00:28;1;0.928207;1;26;0;0;1;0.928207;1;0.928207;0;0;0;0;1;1;25;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:30;2025-12-15 11:39:31;00:00:01;00:00:29;1;0.930681;1;27;0;0;1;0.930681;1;0.930681;0;0;0;0;1;1;26;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:31;2025-12-15 11:39:32;00:00:01;00:00:30;1;0.93296;1;28;0;0;1;0.93296;1;0.93296;0;0;0;0;1;1;27;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:32;2025-12-15 11:39:33;00:00:01;00:00:31;1;0.935092;1;29;0;0;1;0.935092;1;0.935092;0;0;0;0;1;1;28;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:33;2025-12-15 11:39:34;00:00:01;00:00:32;1;0.937119;1;30;0;0;1;0.937119;1;0.937119;0;0;0;0;1;1;29;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:34;2025-12-15 11:39:35;00:00:01;00:00:33;1;0.938996;1;31;0;0;1;0.938996;1;0.938996;0;0;0;0;1;1;30;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:35;2025-12-15 11:39:36;00:00:01;00:00:34;1;0.940789;1;32;0;0;1;0.940789;1;0.940789;0;0;0;0;1;1;31;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:36;2025-12-15 11:39:37;00:00:01;00:00:35;1;0.942453;1;33;0;0;1;0.942453;1;0.942453;0;0;0;0;1;1;32;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:37;2025-12-15 11:39:38;00:00:01;00:00:36;1;0.944025;1;34;0;0;1;0.944025;1;0.944025;0;0;0;0;1;1;33;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:38;2025-12-15 11:39:39;00:00:01;00:00:37;1;0.945512;1;35;0;0;1;0.945512;1;0.945512;0;0;0;0;1;1;34;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:39;2025-12-15 11:39:40;00:00:01;00:00:38;1;0.946945;1;36;0;0;1;0.946945;1;0.946945;0;0;0;0;1;1;35;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:40;2025-12-15 11:39:41;00:00:01;00:00:39;1;0.948305;1;37;0;0;1;0.948305;1;0.948305;0;0;0;0;1;1;36;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
