StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2025-12-15 11:00:23;2025-12-15 11:00:23;2025-12-15 11:00:23;00:00:00;00:00:00;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:23;2025-12-15 11:00:24;00:00:01;00:00:01;1;2;0;0;1;2;2;2;1;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;1;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:24;2025-12-15 11:00:25;00:00:01;00:00:02;1;1.49925;0;0;1;3;1;1.49925;1;1.49925;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;2;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:25;2025-12-15 11:00:26;00:00:01;00:00:03;1;1.33289;0;0;1;4;1;1.33289;1;1.33289;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;3;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:26;2025-12-15 11:00:27;00:00:01;00:00:04;1;1.24938;0;0;1;5;1;1.24938;1;1.24938;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;4;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:27;2025-12-15 11:00:28;00:00:01;00:00:05;1;1.19952;0;0;1;6;1;1.19952;1;1.19952;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;5;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:28;2025-12-15 11:00:29;00:00:01;00:00:06;1;1.16608;0;0;1;7;1;1.16608;1;1.16608;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;6;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:29;2025-12-15 11:00:30;00:00:01;00:00:07;1;1.14237;0;0;1;8;1;1.14237;1;1.14237;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;7;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:30;2025-12-15 11:00:31;00:00:01;00:00:08;1;1.12458;0;0;1;9;1;1.12458;1;1.12458;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;8;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:31;2025-12-15 11:00:32;00:00:01;00:00:09;1;1.11062;0;0;1;10;1;1.11062;1;1.11062;0;0;0;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;9;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:32;2025-12-15 11:00:33;00:00:01;00:00:10;1;1.09956;0;0;1;11;1;1.09956;1;1.09956;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;10;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:33;2025-12-15 11:00:34;00:00:01;00:00:11;2;1.18139;0;0;2;13;2;1.18139;2;1.18139;0;0;0;0;1;2;12;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;12;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:34;2025-12-15 11:00:35;00:00:01;00:00:12;0;1.08288;0;0;0;13;0;1.08288;0;1.08288;0;0;0;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;12;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:35;2025-12-15 11:00:36;00:00:01;00:00:13;1;1.07651;0;0;1;14;1;1.07651;1;1.07651;0;0;0;0;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;13;0;0;0;0;0;0;
2025-12-15 11:00:23;2025-12-15 11:00:36;2025-12-15 11:00:37;00:00:01;00:00:14;1;1.07097;0;0;1;15;1;1.07097;1;1.07097;0;0;0;0;1;1;14;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;14;0;0;0;0;0;0;
