2026-01-08.13:06:58.285|A|START log
2026-01-08.13:06:58.286|A|Platform use LITTLE_ENDIAN coding
2026-01-08.13:06:58.286|A|Integer32 Type size is: 8
2026-01-08.13:06:58.286|A|Integer64 Type size is: 8
2026-01-08.13:06:58.286|A|Configuration data:
                       | |option_log_file  [logs/radius-auth-client.log]
                       | |option_conf_file [config/radius/conf.auth-client.xml]
                       | |option_dico_file [config/radius/radius-dictionary.xml]
                       | |option_scen_file [scenario/radius/radius-auth.client.xml]
                       | |log_stat_file    [../logs/radius-auth-client-stat.csv]
                       | |option_log_level [ET]
                       | |option_bg_mode   [false]
                       | |call_rate        [1]
                       | |burst_limit      [0]
                       | |max_send         [200]
                       | |max_receive      [200]
                       | |select_timeout   [50]
                       | |max_simult_calls [2000]
                       | |call_timeout_ms  [10000]
                       | |msg_buffer_size  [4096]
                       | |display_period   [1]
                       | |log_stat_period  [1]
                       | |resp_time_repart [50,75,100,150,300,5000]
                       | |number_calls     [0]
                       | |notimelog        [false]
                       | |msg check        [false]
                       | |msg check mask   [P]
                       | |check behaviour  [warning]
                       | |call rate scale  [1]
                       | |model traffic    [best-effort]
                       | |external data file    [none]
                       | |external data select  [sequential]
2026-01-08.13:06:58.287|A|PID [692459]
2026-01-08.13:07:08.375|T|Call timeout detected
2026-01-08.13:07:09.329|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:29.074|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.090|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.091|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.092|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.142|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
2026-01-08.14:04:39.143|T|Call timeout detected
