StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2026-01-06 15:13:33;2026-01-06 15:13:33;2026-01-06 15:13:33;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:33;2026-01-06 15:13:34;00:00:01;00:00:01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:34;2026-01-06 15:13:35;00:00:01;00:00:02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:35;2026-01-06 15:13:36;00:00:01;00:00:03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:36;2026-01-06 15:13:37;00:00:01;00:00:04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:37;2026-01-06 15:13:38;00:00:01;00:00:05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:38;2026-01-06 15:13:39;00:00:01;00:00:06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:39;2026-01-06 15:13:40;00:00:01;00:00:07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:40;2026-01-06 15:13:41;00:00:01;00:00:08;2;0.249906;2;2;0;0;2;0.249906;2;0.249906;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:41;2026-01-06 15:13:42;00:00:01;00:00:09;1;0.333185;1;3;0;0;1;0.333185;1;0.333185;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:42;2026-01-06 15:13:43;00:00:01;00:00:10;1;0.39984;1;4;0;0;1;0.39984;1;0.39984;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:43;2026-01-06 15:13:44;00:00:01;00:00:11;1;0.45438;1;5;0;0;1;0.45438;1;0.45438;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:44;2026-01-06 15:13:45;00:00:01;00:00:12;1;0.499792;1;6;0;0;1;0.499792;1;0.499792;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:45;2026-01-06 15:13:46;00:00:01;00:00:13;1;0.538254;1;7;0;0;1;0.538254;1;0.538254;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:46;2026-01-06 15:13:47;00:00:01;00:00:14;1;0.571184;1;8;0;0;1;0.571184;1;0.571184;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:47;2026-01-06 15:13:48;00:00:01;00:00:15;1;0.59976;1;9;0;0;1;0.59976;1;0.59976;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:48;2026-01-06 15:13:49;00:00:01;00:00:16;1;0.624766;1;10;0;0;1;0.624766;1;0.624766;0;0;0;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:33;2026-01-06 15:13:49;2026-01-06 15:13:50;00:00:01;00:00:17;1;0.646792;1;11;0;0;1;0.646792;1;0.646792;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
